WORLD:

Rows: 20
Columns: 80
Log Rows: 10
Log Columns: 100
Turn: 73

ORGANISM:

Wolf (11, 13): Age - 72, Strength - 9
Sheep (3, 18): Age - 8, Strength - 4
Sheep (14, 5): Age - 8, Strength - 4
Sheep (13, 6): Age - 8, Strength - 4
Sheep (14, 2): Age - 8, Strength - 4
Sheep (14, 1): Age - 8, Strength - 4
Sheep (8, 13): Age - 7, Strength - 4
Sheep (12, 9): Age - 7, Strength - 4
Sheep (14, 4): Age - 7, Strength - 4
Sheep (0, 17): Age - 7, Strength - 4
Sheep (6, 15): Age - 7, Strength - 4
Sheep (3, 17): Age - 7, Strength - 4
Sheep (4, 17): Age - 7, Strength - 4
Sheep (6, 16): Age - 7, Strength - 4
Sheep (14, 11): Age - 7, Strength - 4
Sheep (14, 9): Age - 7, Strength - 4
Sheep (16, 3): Age - 7, Strength - 4
Sheep (1, 17): Age - 7, Strength - 4
Sheep (14, 6): Age - 7, Strength - 4
Sheep (13, 12): Age - 7, Strength - 4
Sheep (15, 8): Age - 7, Strength - 4
Sheep (15, 2): Age - 7, Strength - 4
Sheep (17, 4): Age - 7, Strength - 4
Sheep (7, 15): Age - 7, Strength - 4
Sheep (8, 15): Age - 7, Strength - 4
Sheep (12, 11): Age - 7, Strength - 4
Sheep (5, 17): Age - 7, Strength - 4
Sheep (6, 17): Age - 7, Strength - 4
Sheep (16, 8): Age - 7, Strength - 4
Sheep (16, 1): Age - 7, Strength - 4
Sheep (14, 0): Age - 7, Strength - 4
Sheep (15, 1): Age - 7, Strength - 4
Sheep (15, 0): Age - 7, Strength - 4
Sheep (0, 18): Age - 6, Strength - 4
Sheep (2, 17): Age - 6, Strength - 4
Sheep (15, 9): Age - 6, Strength - 4
Sheep (15, 6): Age - 6, Strength - 4
Sheep (15, 5): Age - 6, Strength - 4
Sheep (7, 16): Age - 6, Strength - 4
Sheep (9, 14): Age - 6, Strength - 4
Sheep (12, 12): Age - 6, Strength - 4
Sheep (18, 7): Age - 6, Strength - 4
Sheep (1, 18): Age - 6, Strength - 4
Sheep (4, 19): Age - 6, Strength - 4
Sheep (4, 18): Age - 6, Strength - 4
Sheep (17, 2): Age - 6, Strength - 4
Sheep (7, 17): Age - 6, Strength - 4
Sheep (9, 15): Age - 6, Strength - 4
Sheep (5, 18): Age - 6, Strength - 4
Sheep (17, 7): Age - 6, Strength - 4
Sheep (17, 1): Age - 6, Strength - 4
Sheep (16, 0): Age - 6, Strength - 4
Sheep (9, 13): Age - 5, Strength - 4
Sheep (14, 10): Age - 5, Strength - 4
Sheep (16, 4): Age - 5, Strength - 4
Sheep (16, 6): Age - 5, Strength - 4
Sheep (16, 2): Age - 5, Strength - 4
Sheep (2, 18): Age - 5, Strength - 4
Sheep (0, 19): Age - 5, Strength - 4
Sheep (15, 10): Age - 5, Strength - 4
Sheep (16, 5): Age - 5, Strength - 4
Sheep (1, 19): Age - 5, Strength - 4
Sheep (18, 4): Age - 5, Strength - 4
Sheep (8, 16): Age - 5, Strength - 4
Sheep (13, 10): Age - 5, Strength - 4
Sheep (16, 9): Age - 5, Strength - 4
Sheep (18, 1): Age - 5, Strength - 4
Sheep (17, 0): Age - 5, Strength - 4
Sheep (16, 10): Age - 5, Strength - 4
Sheep (8, 20): Age - 5, Strength - 4
Sheep (7, 18): Age - 5, Strength - 4
Sheep (18, 0): Age - 5, Strength - 4
Sheep (18, 5): Age - 4, Strength - 4
Sheep (11, 15): Age - 4, Strength - 4
Sheep (17, 8): Age - 4, Strength - 4
Sheep (3, 19): Age - 4, Strength - 4
Sheep (17, 3): Age - 4, Strength - 4
Sheep (19, 4): Age - 4, Strength - 4
Sheep (9, 16): Age - 4, Strength - 4
Sheep (13, 11): Age - 4, Strength - 4
Sheep (6, 18): Age - 4, Strength - 4
Sheep (18, 8): Age - 4, Strength - 4
Sheep (17, 9): Age - 4, Strength - 4
Sheep (14, 12): Age - 4, Strength - 4
Sheep (19, 7): Age - 4, Strength - 4
Sheep (2, 19): Age - 4, Strength - 4
Sheep (5, 19): Age - 4, Strength - 4
Sheep (18, 2): Age - 4, Strength - 4
Sheep (10, 16): Age - 4, Strength - 4
Sheep (17, 6): Age - 4, Strength - 4
Sheep (2, 20): Age - 4, Strength - 4
Sheep (0, 20): Age - 4, Strength - 4
Sheep (15, 11): Age - 4, Strength - 4
Sheep (1, 20): Age - 4, Strength - 4
Sheep (11, 14): Age - 4, Strength - 4
Sheep (18, 3): Age - 4, Strength - 4
Sheep (19, 1): Age - 4, Strength - 4
Sheep (19, 0): Age - 4, Strength - 4
Sheep (17, 10): Age - 4, Strength - 4
Sheep (7, 19): Age - 4, Strength - 4
Sheep (18, 6): Age - 3, Strength - 4
Sheep (11, 16): Age - 3, Strength - 4
Sheep (13, 16): Age - 3, Strength - 4
Sheep (3, 20): Age - 3, Strength - 4
Sheep (13, 13): Age - 3, Strength - 4
Sheep (8, 17): Age - 3, Strength - 4
Sheep (19, 8): Age - 3, Strength - 4
Sheep (4, 20): Age - 3, Strength - 4
Sheep (19, 2): Age - 3, Strength - 4
Sheep (9, 17): Age - 3, Strength - 4
Sheep (6, 19): Age - 3, Strength - 4
Sheep (0, 21): Age - 3, Strength - 4
Sheep (19, 3): Age - 3, Strength - 4
Sheep (18, 9): Age - 3, Strength - 4
Sheep (16, 12): Age - 3, Strength - 4
Sheep (8, 18): Age - 3, Strength - 4
Sheep (19, 5): Age - 3, Strength - 4
Sheep (12, 15): Age - 3, Strength - 4
Sheep (10, 17): Age - 3, Strength - 4
Sheep (6, 20): Age - 3, Strength - 4
Sheep (19, 9): Age - 3, Strength - 4
Sheep (15, 12): Age - 3, Strength - 4
Sheep (19, 6): Age - 3, Strength - 4
Sheep (2, 22): Age - 3, Strength - 4
Sheep (5, 20): Age - 3, Strength - 4
Sheep (12, 16): Age - 3, Strength - 4
Sheep (1, 21): Age - 3, Strength - 4
Sheep (16, 11): Age - 3, Strength - 4
Sheep (18, 10): Age - 3, Strength - 4
Sheep (7, 20): Age - 3, Strength - 4
Sheep (12, 13): Age - 2, Strength - 4
Sheep (14, 13): Age - 2, Strength - 4
Sheep (4, 21): Age - 2, Strength - 4
Sheep (9, 19): Age - 2, Strength - 4
Sheep (3, 21): Age - 2, Strength - 4
Sheep (9, 18): Age - 2, Strength - 4
Sheep (11, 17): Age - 2, Strength - 4
Sheep (1, 22): Age - 2, Strength - 4
Sheep (13, 14): Age - 2, Strength - 4
Sheep (19, 10): Age - 2, Strength - 4
Sheep (0, 22): Age - 2, Strength - 4
Sheep (18, 11): Age - 2, Strength - 4
Sheep (14, 16): Age - 2, Strength - 4
Sheep (6, 21): Age - 2, Strength - 4
Sheep (15, 13): Age - 2, Strength - 4
Sheep (5, 21): Age - 2, Strength - 4
Sheep (2, 21): Age - 2, Strength - 4
Sheep (17, 11): Age - 2, Strength - 4
Sheep (10, 14): Age - 1, Strength - 4
Sheep (17, 12): Age - 1, Strength - 4
Sheep (14, 15): Age - 1, Strength - 4
Sheep (10, 19): Age - 1, Strength - 4
Sheep (0, 23): Age - 1, Strength - 4
Sheep (16, 13): Age - 1, Strength - 4
Sheep (7, 21): Age - 1, Strength - 4
Sheep (3, 22): Age - 1, Strength - 4
Sheep (13, 18): Age - 1, Strength - 4
Sheep (19, 11): Age - 1, Strength - 4
Sheep (14, 14): Age - 1, Strength - 4
Sheep (4, 22): Age - 1, Strength - 4
Sheep (1, 23): Age - 1, Strength - 4
Sheep (19, 12): Age - 1, Strength - 4
Sheep (18, 12): Age - 1, Strength - 4
Sheep (6, 22): Age - 1, Strength - 4
Sheep (15, 14): Age - 1, Strength - 4
Sheep (5, 22): Age - 1, Strength - 4
Hogweed (19, 25): Age - 72, Strength - 10
Grass (10, 50): Age - 72, Strength - 0
Dandelion (19, 39): Age - 72, Strength - 0
Guarana (0, 40): Age - 72, Strength - 0
Deadly Nightshade (19, 20): Age - 72, Strength - 99
Deadly Nightshade (19, 21): Age - 71, Strength - 99
Dandelion (18, 39): Age - 70, Strength - 0
Dandelion (19, 38): Age - 69, Strength - 0
Dandelion (19, 37): Age - 68, Strength - 0
Dandelion (17, 39): Age - 67, Strength - 0
Hogweed (18, 25): Age - 67, Strength - 10
Guarana (0, 41): Age - 65, Strength - 0
Dandelion (19, 40): Age - 65, Strength - 0
Guarana (1, 41): Age - 64, Strength - 0
Hogweed (19, 24): Age - 64, Strength - 10
Dandelion (18, 37): Age - 64, Strength - 0
Hogweed (18, 24): Age - 64, Strength - 10
Dandelion (17, 38): Age - 64, Strength - 0
Dandelion (16, 39): Age - 63, Strength - 0
Dandelion (16, 38): Age - 62, Strength - 0
Grass (11, 50): Age - 62, Strength - 0
Guarana (1, 40): Age - 62, Strength - 0
Dandelion (18, 38): Age - 62, Strength - 0
Dandelion (18, 36): Age - 62, Strength - 0
Dandelion (17, 37): Age - 62, Strength - 0
Dandelion (16, 37): Age - 61, Strength - 0
Dandelion (18, 40): Age - 61, Strength - 0
Guarana (2, 41): Age - 61, Strength - 0
Dandelion (15, 39): Age - 61, Strength - 0
Dandelion (18, 35): Age - 61, Strength - 0
Dandelion (16, 36): Age - 60, Strength - 0
Dandelion (19, 36): Age - 60, Strength - 0
Dandelion (19, 41): Age - 60, Strength - 0
Hogweed (19, 23): Age - 60, Strength - 10
Dandelion (16, 40): Age - 60, Strength - 0
Dandelion (17, 36): Age - 60, Strength - 0
Dandelion (17, 35): Age - 59, Strength - 0
Dandelion (15, 38): Age - 59, Strength - 0
Dandelion (14, 39): Age - 59, Strength - 0
Dandelion (17, 34): Age - 58, Strength - 0
Dandelion (18, 41): Age - 58, Strength - 0
Hogweed (18, 23): Age - 58, Strength - 10
Dandelion (15, 36): Age - 57, Strength - 0
Dandelion (14, 38): Age - 57, Strength - 0
Dandelion (16, 34): Age - 57, Strength - 0
Grass (10, 49): Age - 57, Strength - 0
Grass (11, 51): Age - 57, Strength - 0
Dandelion (15, 37): Age - 57, Strength - 0
Dandelion (19, 35): Age - 57, Strength - 0
Dandelion (19, 42): Age - 57, Strength - 0
Dandelion (15, 40): Age - 56, Strength - 0
Dandelion (17, 33): Age - 56, Strength - 0
Dandelion (16, 33): Age - 56, Strength - 0
Grass (12, 50): Age - 56, Strength - 0
Guarana (3, 41): Age - 55, Strength - 0
Hogweed (19, 22): Age - 55, Strength - 10
Dandelion (16, 41): Age - 55, Strength - 0
Dandelion (16, 35): Age - 55, Strength - 0
Dandelion (14, 40): Age - 55, Strength - 0
Dandelion (19, 34): Age - 55, Strength - 0
Dandelion (15, 41): Age - 55, Strength - 0
Deadly Nightshade (19, 19): Age - 55, Strength - 99
Dandelion (17, 40): Age - 55, Strength - 0
Dandelion (18, 33): Age - 54, Strength - 0
Dandelion (17, 41): Age - 54, Strength - 0
Dandelion (16, 42): Age - 54, Strength - 0
Dandelion (13, 39): Age - 54, Strength - 0
Dandelion (18, 34): Age - 54, Strength - 0
Grass (11, 52): Age - 54, Strength - 0
Dandelion (14, 37): Age - 54, Strength - 0
Dandelion (13, 37): Age - 53, Strength - 0
Dandelion (18, 32): Age - 53, Strength - 0
Dandelion (17, 42): Age - 53, Strength - 0
Guarana (1, 42): Age - 53, Strength - 0
Grass (11, 49): Age - 53, Strength - 0
Guarana (1, 39): Age - 53, Strength - 0
Guarana (2, 40): Age - 53, Strength - 0
Dandelion (18, 42): Age - 53, Strength - 0
Grass (12, 51): Age - 53, Strength - 0
Dandelion (13, 38): Age - 53, Strength - 0
Dandelion (15, 34): Age - 53, Strength - 0
Guarana (3, 40): Age - 53, Strength - 0
Grass (11, 53): Age - 53, Strength - 0
Dandelion (14, 36): Age - 53, Strength - 0
Dandelion (18, 31): Age - 52, Strength - 0
Dandelion (15, 35): Age - 52, Strength - 0
Grass (12, 49): Age - 52, Strength - 0
Hogweed (18, 22): Age - 52, Strength - 10
Dandelion (19, 33): Age - 52, Strength - 0
Hogweed (17, 22): Age - 51, Strength - 10
Grass (9, 50): Age - 51, Strength - 0
Guarana (0, 42): Age - 51, Strength - 0
Dandelion (15, 33): Age - 51, Strength - 0
Dandelion (14, 41): Age - 51, Strength - 0
Grass (11, 48): Age - 51, Strength - 0
Guarana (0, 39): Age - 51, Strength - 0
Dandelion (18, 43): Age - 51, Strength - 0
Dandelion (12, 38): Age - 51, Strength - 0
Dandelion (17, 32): Age - 51, Strength - 0
Dandelion (17, 43): Age - 51, Strength - 0
Dandelion (14, 35): Age - 51, Strength - 0
Grass (12, 48): Age - 51, Strength - 0
Grass (13, 49): Age - 50, Strength - 0
Dandelion (19, 32): Age - 50, Strength - 0
Dandelion (17, 31): Age - 50, Strength - 0
Dandelion (14, 42): Age - 50, Strength - 0
Dandelion (12, 37): Age - 50, Strength - 0
Dandelion (17, 44): Age - 50, Strength - 0
Dandelion (14, 34): Age - 50, Strength - 0
Grass (13, 50): Age - 50, Strength - 0
Dandelion (12, 39): Age - 50, Strength - 0
Grass (12, 52): Age - 50, Strength - 0
Guarana (3, 39): Age - 50, Strength - 0
Dandelion (16, 32): Age - 49, Strength - 0
Dandelion (16, 43): Age - 49, Strength - 0
Dandelion (17, 30): Age - 49, Strength - 0
Hogweed (17, 24): Age - 49, Strength - 10
Dandelion (19, 43): Age - 49, Strength - 0
Guarana (4, 40): Age - 49, Strength - 0
Dandelion (13, 36): Age - 49, Strength - 0
Dandelion (15, 32): Age - 49, Strength - 0
Dandelion (18, 44): Age - 48, Strength - 0
Dandelion (13, 34): Age - 48, Strength - 0
Dandelion (13, 35): Age - 48, Strength - 0
Deadly Nightshade (18, 20): Age - 48, Strength - 99
Grass (10, 48): Age - 48, Strength - 0
Dandelion (15, 42): Age - 48, Strength - 0
Grass (13, 51): Age - 48, Strength - 0
Hogweed (18, 21): Age - 48, Strength - 10
Dandelion (13, 41): Age - 48, Strength - 0
Grass (13, 48): Age - 48, Strength - 0
Grass (14, 49): Age - 48, Strength - 0
Dandelion (19, 31): Age - 48, Strength - 0
Dandelion (16, 31): Age - 48, Strength - 0
Dandelion (12, 36): Age - 48, Strength - 0
Dandelion (12, 34): Age - 47, Strength - 0
Grass (10, 52): Age - 47, Strength - 0
Guarana (0, 38): Age - 47, Strength - 0
Dandelion (12, 40): Age - 47, Strength - 0
Dandelion (16, 44): Age - 47, Strength - 0
Dandelion (14, 33): Age - 47, Strength - 0
Dandelion (15, 31): Age - 47, Strength - 0
Dandelion (15, 43): Age - 47, Strength - 0
Dandelion (16, 30): Age - 47, Strength - 0
Dandelion (12, 41): Age - 47, Strength - 0
Dandelion (11, 34): Age - 46, Strength - 0
Dandelion (18, 30): Age - 46, Strength - 0
Dandelion (14, 43): Age - 46, Strength - 0
Dandelion (17, 45): Age - 46, Strength - 0
Guarana (4, 39): Age - 46, Strength - 0
Dandelion (14, 32): Age - 46, Strength - 0
Grass (13, 52): Age - 46, Strength - 0
Dandelion (13, 42): Age - 46, Strength - 0
Dandelion (13, 33): Age - 46, Strength - 0
Dandelion (15, 44): Age - 46, Strength - 0
Grass (11, 47): Age - 45, Strength - 0
Grass (9, 48): Age - 45, Strength - 0
Dandelion (19, 30): Age - 45, Strength - 0
Dandelion (11, 40): Age - 45, Strength - 0
Dandelion (16, 29): Age - 45, Strength - 0
Dandelion (11, 41): Age - 45, Strength - 0
Dandelion (13, 32): Age - 45, Strength - 0
Grass (10, 51): Age - 45, Strength - 0
Dandelion (13, 40): Age - 45, Strength - 0
Dandelion (15, 45): Age - 44, Strength - 0
Grass (9, 47): Age - 44, Strength - 0
Dandelion (11, 42): Age - 44, Strength - 0
Grass (12, 53): Age - 44, Strength - 0
Dandelion (19, 44): Age - 44, Strength - 0
Dandelion (18, 45): Age - 44, Strength - 0
Dandelion (12, 42): Age - 44, Strength - 0
Dandelion (13, 43): Age - 44, Strength - 0
Dandelion (12, 32): Age - 43, Strength - 0
Deadly Nightshade (18, 19): Age - 43, Strength - 99
Dandelion (11, 38): Age - 43, Strength - 0
Hogweed (16, 22): Age - 43, Strength - 10
Guarana (3, 38): Age - 43, Strength - 0
Grass (14, 48): Age - 43, Strength - 0
Dandelion (12, 35): Age - 43, Strength - 0
Dandelion (15, 30): Age - 43, Strength - 0
Dandelion (14, 44): Age - 43, Strength - 0
Dandelion (16, 45): Age - 43, Strength - 0
Dandelion (11, 32): Age - 42, Strength - 0
Hogweed (17, 23): Age - 42, Strength - 10
Dandelion (11, 39): Age - 42, Strength - 0
Guarana (4, 41): Age - 42, Strength - 0
Grass (14, 51): Age - 42, Strength - 0
Grass (9, 52): Age - 42, Strength - 0
Dandelion (10, 41): Age - 42, Strength - 0
Grass (9, 46): Age - 42, Strength - 0
Dandelion (10, 42): Age - 42, Strength - 0
Dandelion (11, 35): Age - 42, Strength - 0
Dandelion (9, 42): Age - 41, Strength - 0
Dandelion (11, 36): Age - 41, Strength - 0
Dandelion (17, 29): Age - 41, Strength - 0
Hogweed (17, 21): Age - 41, Strength - 10
Dandelion (14, 31): Age - 41, Strength - 0
Dandelion (17, 46): Age - 41, Strength - 0
Dandelion (11, 33): Age - 41, Strength - 0
Dandelion (19, 29): Age - 41, Strength - 0
Dandelion (13, 31): Age - 41, Strength - 0
Dandelion (12, 43): Age - 41, Strength - 0
Dandelion (13, 44): Age - 41, Strength - 0
Dandelion (15, 46): Age - 41, Strength - 0
Dandelion (15, 29): Age - 41, Strength - 0
Dandelion (11, 31): Age - 40, Strength - 0
Dandelion (10, 33): Age - 40, Strength - 0
Guarana (3, 42): Age - 40, Strength - 0
Grass (9, 51): Age - 40, Strength - 0
Guarana (2, 39): Age - 40, Strength - 0
Dandelion (11, 37): Age - 40, Strength - 0
Grass (13, 47): Age - 40, Strength - 0
Grass (10, 53): Age - 40, Strength - 0
Dandelion (12, 33): Age - 40, Strength - 0
Dandelion (16, 28): Age - 40, Strength - 0
Dandelion (19, 45): Age - 40, Strength - 0
Dandelion (11, 43): Age - 40, Strength - 0
